dev_id,dev_name
00f4de1a-8723-463f-b8a6-64cdee75c3cf,Nymphs
00f6704c-22f7-490c-b45a-adb987f80167,Lightning Mark
00f67241-97b5-4498-910e-ee05f8279d87,Red Barrels
00f73baf-6992-4d72-b018-8f8cb4eb5d50,Vivid Foundry Corp.
00fa6ccf-67cd-4b55-9b0e-ef5563f8d105,Crafty Development Team
00ff18b9-3ddc-4352-b5a3-006a8e8ce3bf,Pillow Head Games
01000723-464c-493d-9cfe-7832952d6881,Radi Art
01023b7a-4d87-4357-abd4-969490816269,JoyImpact
01033839-9a04-4aec-98fd-c9fb3c27046d,ZenFri Inc.
0103953f-306d-405c-be63-20bfb6a63836,Peter Uth
01046b9f-bfd9-4ee5-8aa9-658833169970,pickpanpuck productions
0105ebfa-ac61-409a-90f6-659e51d094f7,temporary
0107cf6d-f6ab-4b39-9920-89f0dcfb55dd,Orebody Inc
0107f0aa-9585-4f18-91b9-88f4a827148d,K10
01097646-b47a-4b44-9bd6-9d76dc6dbd2e,Crackpot Entertainment
01097f23-701a-41ae-9450-676fad8106bd,Orkbadger
010aa9e8-c715-4acf-9d8d-aab174f58b49,PixelWorkshop
010afd71-e29e-45bf-913d-d145e292d888,Eduardo Brasil
010b9dca-adad-43fa-8272-ec25abf1dab2,Paragon Game Studio
010ce175-baac-4535-ba84-63fb615cd077,BrainGoodGames
010d8dc5-d41b-4753-a1d4-273cc0a10e09,JJZ
010e431c-0348-4e8b-b35c-196980910cce,CorpsePickle
010ebe07-236d-4d83-bb27-22a458d55bdc,slampunks
010fd3ed-a9c5-450c-82a5-078ccf77e2dd,Fallalypse studio
01100bc2-e46f-4197-a56f-be002e2ef63c,Blue Tall Tree Game Studio
01103ed2-ecde-4146-b31e-e72fda66475a,Seventh Heart Studios
0112243d-70cf-4093-a27b-c65b6ea61faa,"Escape Hatch Entertainment, LLC"
011260dc-bca6-4832-992c-873b354b24a9,Dreamfire Studios
0112e4ed-61f2-4a15-81d3-4172f643d4b1,å°‘å¹´å·¥ä½œå®¤ Juvenile Studio
01130efe-6707-4011-91e8-e111d53d4b32,Good fruit
0114a0a2-8b1f-454a-a8d6-cabd2685f049,Mehmet Melih Solt
01158ce6-f112-43bc-95fe-045b32981a90,Javier GonzÃ¡lez
01159eb4-7fce-416f-b55f-aafbc9a89e7f,BjÃ¶rn Loesing
0116688e-c3e9-419d-a25b-3d0a1d6c1ebd,Remar Games
0117dcf2-1c14-4d95-8d72-cb3c4499449b,Cyanide Studio
0118a174-bee5-41c6-8556-3ef0d0ba5687,ã�²ã�¤ã�˜ã��ã‚‚
011badce-6094-4956-8a66-9865a0bb22cd,Team Vivat
011bdc34-eb02-4cfd-9144-648a06a8e6e6,HKFiftyOne Games
011e5aff-4909-4e48-8bfd-9370f54a3047,Terahard Ltd
01203adf-0074-4a90-bb69-ef6182cdae79,Black Cloud Studios
01221d3a-48d7-48db-8d78-e27921ac30c1,Pix Arts
0122bd26-49cd-4c36-982f-cb811d698c68,Parallax Software Solutions GmbH
01234530-8e9f-4310-b5db-749d323a20eb,Yanchovies
0123821d-e020-4da3-9e1f-707ce2ef51b2,LightCAT gaming
0124120d-f7b8-4f2b-a161-147bc435cd9f,MoyeGames
01257c33-7318-4fe7-9bb5-ce221bf346b9,CASCHA GAMES
0125ab12-7020-4c53-815c-dbf0927a07aa,Gameliner
012635c5-335c-40cc-a8f6-8a2d370375df,Ryan Forrester
01279b17-c133-47d9-986e-08b4ccb651ed,Rogerty
0127d3e5-d7aa-476e-8928-cd9c3e8a7664,Bling Bling Games GmbH
012f846c-dd57-4db4-bbfa-2b9bb6539a85,Pixel Wrappers
01312ed7-0929-48ae-997f-e9b58aa2ba42,Garrett Chavez
0131cd32-8f7e-4ee8-8cd9-5fd70a178ffe,Forust
01355030-66cd-4b48-9af7-391dde7bcf2e,Ortharion project
